playerType,propReturnB,propSendA,age,defMax,volSav,dropG
A,,0.333333343,24,0,712,0
A,,0.333333343,23,32.70000076,1,0
A,,0.666666687,46,0,283,0
A,,0.666666687,32,132.5,7,0
A,,0.666666687,26,0,36,1
A,,0.666666687,45,0,63,0
A,,0.333333343,26,0,80,0
A,,0.333333343,44,6,3.630000114,0
A,,0.333333343,38,296,5,1
A,,0.333333343,54,0,49,1
A,,0.666666687,31,215.75,21,1
A,,0.666666687,21,0,54,1
A,,0.666666687,27,0,9,1
A,,0.666666687,22,0,0,1
A,,0.666666687,29,194.5,16,1
A,,1,46,86,0,1
A,,1,37,0,6,0
A,,0.333333343,32,54,1,1
A,,0.333333343,28,52,15,1
A,,0.333333343,27,0,1,1
A,,0.333333343,33,0,104,1
A,,0.666666687,27,88.29000092,9,1
A,,0.666666687,40,139.25,32,1
A,,1,35,0,62,0
A,,1,36,0,74,0
A,,1,17,0,1,0
A,,1,34,144.9499969,1,1
A,,1,19,0,1,0
A,,1,21,44.61999893,2,1
A,,0.333333343,23,0,25,1
A,,0.333333343,41,0,14,0
A,,0.333333343,58,17,15,0
A,,0.333333343,24,68,45,0
A,,0.333333343,60,0,71,0
A,,0.666666687,27,119.2099991,0,1
A,,0.666666687,19,132.5,4,0
A,,1,46,66.5,55,1
A,,0,52,0,127,0
A,,0,23,200.0899963,2,1
A,,0,25,42,5,1
A,,0.333333343,32,0,22,0
A,,0.333333343,42,0,12,0
A,,0.333333343,32,0,64,1
A,,0.333333343,20,100,3,1
A,,0.333333343,40,162.25,0,1
A,,0.666666687,32,87,26,1
A,,0.666666687,37,0,29,0
A,,0.666666687,32,9,10,0
A,,0,32,0,113,0
A,,0,29,0,0,1
A,,0,49,0,103,0
A,,0,37,0,22,0
A,,0,30,27,10,1
A,,0.333333343,25,231.0899963,15,1
A,,0.333333343,33,0,357,0
A,,0.333333343,24,0,1,0
A,,0.333333343,34,52,0,1
A,,0.333333343,41,0,3,0
A,,0.666666687,58,0,32,0
A,,1,40,0,3,0
A,,1,35,14.5,0,1
A,,0,39,93,13,1
A,,0,19,86.5,2,1
A,,0.333333343,34,0,30,0
A,,0.666666687,33,0,0,0
A,,1,42,7.239999771,3,1
A,,0.333333343,17,0,1,0
A,,0.666666687,23,0,66,1
A,,1,21,21,36,1
A,,1,27,131.3099976,9,1
A,,1,43,0,239,1
A,,1,62,0,26,1
