revshift,high,female,tenure
195.80005,0,0,64.999985
192.99997,1,0,82.999947
63.000015,0,0,61.000008
197.00005,1,0,84.000015
86.999992,0,0,45.999981
223.99998,1,0,76.999969
154.99998,0,0,61.999977
405.99994,0,0,50
327.59988,0,0,54.999989
277.99997,1,0,73.000038
235.50002,1,0,81.999977
210.99997,0,0,48.999985
305.00006,1,0,74.999992
246.00011,0,0,53.000004
302,1,0,68.000023
363.00006,1,0,71.000008
244.99995,0,0,67.000023
196.00006,0,0,79.000015
391.39996,1,0,69.000031
156,0,0,42.999996
265.00006,0,0,42.000015
64.999985,0,0,51.000019
225.00014,1,0,69.999985
215.99991,0,0,59.000034
173.00008,0,0,56.000019
228.00009,0,0,63.000019
273.00006,0,0,44.000015
335.99994,1,0,78.000015
524.00018,0,0,90.000031
